1001,SBI,4520.0,554461,0
1002,CBI,6466.5,89988789,5586
1003,PNB,12543.0,456782,120
1004,BOI,9876.0,112239,4500
1005,HDFC,76450.5,445561,0
1006,ICICI,33401.0,778891,220
1007,AXIS,9852.0,667781,760
1008,KOTAK,120005.0,554438,0
1009,YESBANK,4509.0,223349,999
1010,IDBI,7612.0,998824,0
1011,UCO,5558.5,443325,100
1012,CANARA,30010.0,119982,650
1013,UNION,8711.0,887761,0
1014,IOB,9212.0,776651,300
1015,SBI,11011.0,665549,1250
1016,CBI,45021.0,223317,0
1017,PNB,6719.0,998816,50
1018,BOB,7222.0,887793,180
1019,HDFC,54009.0,554491,0
1020,ICICI,8811.0,667751,2100
1021,AXIS,9413.0,332218,0
1022,KOTAK,15045.0,221139,500
1023,YESBANK,6818.0,99887761,0
1024,IDBI,4312.0,554462,130
1025,UCO,9915.0,776649,0
1026,CANARA,56012.0,112249,900
1027,UNION,7820.0,998851,0
1028,IOB,6215.0,334459,450
1029,SBI,84533.0,556671,0
1030,CBI,4711.0,667792,340
1031,PNB,5124.0,778826,0
1032,BOI,39018.0,889905,1500
1033,HDFC,12355.0,110028,0
1034,ICICI,7421.0,220019,275
1035,AXIS,87045.0,334429,0
1036,KOTAK,9422.0,998839,650
1037,YESBANK,6128.0,776684,0
1038,IDBI,5325.0,665571,90
1039,UCO,45288.0,554482,0
1040,CANARA,7245.0,443391,110
1041,UNION,8120.0,221194,0
1042,IOB,6344.0,887718,430
1043,SBI,99055.0,776628,0
1044,CBI,8731.0,554471,220
1045,PNB,6528.0,998841,0
1046,BOB,72088.0,667739,150
1047,HDFC,5821.0,334417,0
1048,ICICI,4930.0,223306,510
1049,AXIS,25099.0,112259,0
1050,KOTAK,14400.0,998120,875
